127.0.0.1 - - [12/Apr/2017:10:23:24 -0300] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [12/Apr/2017:10:23:34 -0300] "GET /ChampionsLinux/ HTTP/1.1" 200 7222
127.0.0.1 - - [12/Apr/2017:10:23:34 -0300] "GET /ChampionsLinux/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:10:23:34 -0300] "GET /ChampionsLinux/css/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:10:23:34 -0300] "GET /ChampionsLinux/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:10:23:34 -0300] "GET /ChampionsLinux/js/jquery-3.2.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:10:24:36 -0300] "POST /ChampionsLinux/administrador.html HTTP/1.1" 200 334
127.0.0.1 - - [12/Apr/2017:11:09:20 -0300] "POST /ChampionsLinux/administrador.html HTTP/1.1" 200 334
127.0.0.1 - - [12/Apr/2017:11:09:20 -0300] "GET /ChampionsLinux/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:11:09:20 -0300] "GET /ChampionsLinux/css/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:11:09:24 -0300] "POST /ChampionsLinux/administrador.html HTTP/1.1" 200 334
127.0.0.1 - - [12/Apr/2017:11:09:24 -0300] "GET /ChampionsLinux/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Apr/2017:11:09:24 -0300] "GET /ChampionsLinux/css/bootstrap-theme.min.css HTTP/1.1" 304 -
