127.0.0.1 - - [13/Jul/2017:14:33:14 -0300] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/index.html HTTP/1.1" 200 53423
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/dist/css/AdminLTE.min.css HTTP/1.1" 200 90390
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 40757
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/jvectormap/jquery-jvectormap-1.2.2.css HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 6666
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/datepicker/datepicker3.css HTTP/1.1" 200 33745
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/iCheck/flat/blue.css HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/morris/morris.css HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/jQuery/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/morris/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 200 144313
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 64795
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 200 33323
0:0:0:0:0:0:0:1 - - [13/Jul/2017:14:33:58 -0300] "GET /ChampionsLinux/Administracao/plugins/sparkline/jquery.sparkline.min.js HTTP/1.1" 200 43247
